x,y,z,grav_anomaly_mGal,uncertainty_mGal
50.0,50.0,0.0,0.026727,0.003166
150.0,50.0,0.0,0.031186,0.002027
250.0,50.0,0.0,0.040611,0.003645
350.0,50.0,0.0,0.049548,0.006425
450.0,50.0,0.0,0.047686,0.002332
550.0,50.0,0.0,0.047686,0.002332
650.0,50.0,0.0,0.049727,0.006604
750.0,50.0,0.0,0.040991,0.004025
850.0,50.0,0.0,0.030134,0.003079
950.0,50.0,0.0,0.026872,0.003311
50.0,150.0,0.0,0.030153,0.003060
150.0,150.0,0.0,0.039975,0.003067
250.0,150.0,0.0,0.053504,0.002356
350.0,150.0,0.0,0.057364,0.007665
450.0,150.0,0.0,0.064741,0.007066
550.0,150.0,0.0,0.068433,0.003374
650.0,150.0,0.0,0.060223,0.004805
750.0,150.0,0.0,0.053734,0.002586
850.0,150.0,0.0,0.038570,0.004472
950.0,150.0,0.0,0.027139,0.006073
50.0,250.0,0.0,0.043209,0.006243
150.0,250.0,0.0,0.052019,0.002305
250.0,250.0,0.0,0.070480,0.001802
350.0,250.0,0.0,0.083627,0.006113
450.0,250.0,0.0,0.098387,0.003317
550.0,250.0,0.0,0.100468,0.001940
650.0,250.0,0.0,0.084497,0.005244
750.0,250.0,0.0,0.071459,0.002781
850.0,250.0,0.0,0.050828,0.003496
950.0,250.0,0.0,0.037627,0.002514
50.0,350.0,0.0,0.042800,0.003499
150.0,350.0,0.0,0.069323,0.007471
250.0,350.0,0.0,0.088110,0.001631
350.0,350.0,0.0,0.111756,0.004947
450.0,350.0,0.0,0.136713,0.004200
550.0,350.0,0.0,0.130223,0.005465
650.0,350.0,0.0,0.115779,0.002251
750.0,350.0,0.0,0.081929,0.007812
850.0,350.0,0.0,0.059222,0.005806
950.0,350.0,0.0,0.045336,0.002213
50.0,450.0,0.0,0.050775,0.003933
150.0,450.0,0.0,0.070763,0.002132
250.0,450.0,0.0,0.099748,0.001955
350.0,450.0,0.0,0.133144,0.002544
450.0,450.0,0.0,0.154103,0.006284
550.0,450.0,0.0,0.156513,0.003874
650.0,450.0,0.0,0.132637,0.003051
750.0,450.0,0.0,0.103473,0.004945
850.0,450.0,0.0,0.071310,0.002679
950.0,450.0,0.0,0.042830,0.007187
50.0,550.0,0.0,0.049459,0.002617
150.0,550.0,0.0,0.068996,0.002811
250.0,550.0,0.0,0.097966,0.003738
350.0,550.0,0.0,0.136043,0.003531
450.0,550.0,0.0,0.162073,0.004862
550.0,550.0,0.0,0.161756,0.004546
650.0,550.0,0.0,0.131435,0.004253
750.0,550.0,0.0,0.099134,0.002570
850.0,550.0,0.0,0.071271,0.002640
950.0,550.0,0.0,0.051528,0.004686
50.0,650.0,0.0,0.043189,0.003110
150.0,650.0,0.0,0.062850,0.002178
250.0,650.0,0.0,0.084639,0.005102
350.0,650.0,0.0,0.111317,0.005387
450.0,650.0,0.0,0.136681,0.004169
550.0,650.0,0.0,0.138408,0.005895
650.0,650.0,0.0,0.114887,0.001817
750.0,650.0,0.0,0.091340,0.004775
850.0,650.0,0.0,0.064589,0.002737
950.0,650.0,0.0,0.042662,0.003637
50.0,750.0,0.0,0.039702,0.002736
150.0,750.0,0.0,0.057621,0.006473
250.0,750.0,0.0,0.070152,0.001702
350.0,750.0,0.0,0.093122,0.006557
450.0,750.0,0.0,0.091795,0.009908
550.0,750.0,0.0,0.102726,0.004198
650.0,750.0,0.0,0.088429,0.001864
750.0,750.0,0.0,0.069316,0.002538
850.0,750.0,0.0,0.053027,0.001879
950.0,750.0,0.0,0.032241,0.007900
50.0,850.0,0.0,0.030927,0.002286
150.0,850.0,0.0,0.042588,0.002722
250.0,850.0,0.0,0.057430,0.006282
350.0,850.0,0.0,0.061794,0.003234
450.0,850.0,0.0,0.067651,0.004156
550.0,850.0,0.0,0.068625,0.003182
650.0,850.0,0.0,0.066347,0.004495
750.0,850.0,0.0,0.053780,0.002632
850.0,850.0,0.0,0.039772,0.003270
950.0,850.0,0.0,0.033255,0.003218
50.0,950.0,0.0,0.025457,0.001896
150.0,950.0,0.0,0.034701,0.004664
250.0,950.0,0.0,0.036324,0.003818
350.0,950.0,0.0,0.043670,0.002629
450.0,950.0,0.0,0.047184,0.002833
550.0,950.0,0.0,0.043781,0.006236
650.0,950.0,0.0,0.045652,0.002528
750.0,950.0,0.0,0.039383,0.002417
850.0,950.0,0.0,0.031641,0.001604
950.0,950.0,0.0,0.024404,0.002333
