x,y,z,mag_anomaly_nT,uncertainty_nT
50.0,50.0,0.0,-2.7258,0.6895
150.0,50.0,0.0,-5.1522,1.4495
250.0,50.0,0.0,-5.5835,0.8309
350.0,50.0,0.0,-6.4052,1.0135
450.0,50.0,0.0,-4.5802,1.3907
550.0,50.0,0.0,-4.9361,0.8712
650.0,50.0,0.0,-2.2351,0.9706
750.0,50.0,0.0,1.0678,2.7355
850.0,50.0,0.0,1.2721,1.8632
950.0,50.0,0.0,-0.1245,0.9018
50.0,150.0,0.0,-5.1386,0.7935
150.0,150.0,0.0,-6.3671,0.9206
250.0,150.0,0.0,-11.3258,2.3368
350.0,150.0,0.0,-12.3324,1.3954
450.0,150.0,0.0,-10.9396,0.9644
550.0,150.0,0.0,-9.5676,0.5342
650.0,150.0,0.0,-3.7581,2.6479
750.0,150.0,0.0,-3.5862,1.1110
850.0,150.0,0.0,-2.0107,1.6110
950.0,150.0,0.0,-0.7690,1.4275
50.0,250.0,0.0,-6.6892,0.4055
150.0,250.0,0.0,-10.6950,0.5768
250.0,250.0,0.0,-12.8594,2.9925
350.0,250.0,0.0,-20.5470,0.8550
450.0,250.0,0.0,-21.3259,0.4526
550.0,250.0,0.0,-16.5890,1.4211
650.0,250.0,0.0,-11.0301,0.5151
750.0,250.0,0.0,-4.3030,1.0376
850.0,250.0,0.0,-0.9168,0.8500
950.0,250.0,0.0,1.2346,1.3663
50.0,350.0,0.0,-9.9961,2.0324
150.0,350.0,0.0,-12.9390,1.3320
250.0,350.0,0.0,-22.0020,0.5505
350.0,350.0,0.0,-29.9500,0.6076
450.0,350.0,0.0,-33.7336,0.8404
550.0,350.0,0.0,-25.2498,2.3256
650.0,350.0,0.0,-18.2815,2.7785
750.0,350.0,0.0,-4.8765,2.0224
850.0,350.0,0.0,-2.2518,1.1817
950.0,350.0,0.0,2.3457,2.1738
50.0,450.0,0.0,-7.4187,1.8145
150.0,450.0,0.0,-13.9555,1.5738
250.0,450.0,0.0,-23.6681,1.3557
350.0,450.0,0.0,-32.3649,3.0344
450.0,450.0,0.0,-39.6028,1.0835
550.0,450.0,0.0,-31.5631,1.0676
650.0,450.0,0.0,-17.4305,1.1547
750.0,450.0,0.0,-4.6240,1.4690
850.0,450.0,0.0,-1.9481,1.9055
950.0,450.0,0.0,2.5182,1.5694
50.0,550.0,0.0,-8.0530,0.7258
150.0,550.0,0.0,-14.2941,1.6354
250.0,550.0,0.0,-22.1242,1.6469
350.0,550.0,0.0,-29.8444,1.3191
450.0,550.0,0.0,-32.6192,2.1237
550.0,550.0,0.0,-22.2607,0.9892
650.0,550.0,0.0,-9.5748,1.3833
750.0,550.0,0.0,-0.8164,1.5081
850.0,550.0,0.0,0.9296,1.1203
950.0,550.0,0.0,2.8252,0.7485
50.0,650.0,0.0,-5.3825,0.3952
150.0,650.0,0.0,-7.7655,1.1963
250.0,650.0,0.0,-12.1443,0.9083
350.0,650.0,0.0,-15.7866,0.4945
450.0,650.0,0.0,-17.1060,2.5582
550.0,650.0,0.0,-9.0354,0.5835
650.0,650.0,0.0,-1.4861,0.5185
750.0,650.0,0.0,1.8562,1.2001
850.0,650.0,0.0,3.5359,0.7033
950.0,650.0,0.0,2.0087,1.9056
50.0,750.0,0.0,-3.2172,0.7639
150.0,750.0,0.0,-3.4030,0.9796
250.0,750.0,0.0,-2.5131,2.8275
350.0,750.0,0.0,-5.9324,1.5712
450.0,750.0,0.0,-2.4865,0.4171
550.0,750.0,0.0,0.1876,1.5114
650.0,750.0,0.0,4.3186,0.4971
750.0,750.0,0.0,5.2986,0.6502
850.0,750.0,0.0,6.1082,1.3613
950.0,750.0,0.0,5.2576,1.5261
50.0,850.0,0.0,-0.6544,0.5791
150.0,850.0,0.0,-0.9224,0.5227
250.0,850.0,0.0,1.1363,1.7740
350.0,850.0,0.0,1.3065,0.5989
450.0,850.0,0.0,4.9638,2.1592
550.0,850.0,0.0,3.3788,2.2964
650.0,850.0,0.0,8.4859,2.4691
750.0,850.0,0.0,5.5441,1.1101
850.0,850.0,0.0,4.0530,1.6572
950.0,850.0,0.0,4.1069,0.4413
50.0,950.0,0.0,-0.9702,1.7474
150.0,950.0,0.0,1.5760,1.0532
250.0,950.0,0.0,1.2812,0.9291
350.0,950.0,0.0,3.4683,0.7245
450.0,950.0,0.0,3.4595,1.5299
550.0,950.0,0.0,5.4685,0.6487
650.0,950.0,0.0,6.2103,0.5022
750.0,950.0,0.0,5.4645,0.6090
850.0,950.0,0.0,6.6595,2.2469
950.0,950.0,0.0,4.4863,1.0729
